text,emotion,error_type,predicted,actual
igagasi lifuna ukwenza inzuzo ngabalaleli,joy,False Positive,True,False
ingwijikhwebu ngokumiswa kukahelen zille,surprise,False Positive,True,False
uramaphosa usolwe ngokuhlukumeza owayeyinkosikazi yakhe,joy,False Positive,True,False
uramaphosa usolwe ngokuhlukumeza owayeyinkosikazi yakhe,sadness,False Negative,False,True
uramaphosa usolwe ngokuhlukumeza owayeyinkosikazi yakhe,surprise,False Negative,False,True
uphume ngebheyili umshumayeli osolwa ngokudlwengula umshana,disgust,False Negative,False,True
uphume ngebheyili umshumayeli osolwa ngokudlwengula umshana,joy,False Positive,True,False
uphume ngebheyili umshumayeli osolwa ngokudlwengula umshana,surprise,False Negative,False,True
isakhulunyelwa phansi eyobengunozinti wepirates,joy,False Positive,True,False
isakhulunyelwa phansi eyobengunozinti wepirates,surprise,False Positive,True,False
smalzin10 kuncono kakhulu mfethu unkulunkulu unqabile nawe ushwebile usathane,joy,False Positive,True,False
usizi ngesimo somndeni osuhlale ehlathini iminyaka,joy,False Positive,True,False
usizi ngesimo somndeni osuhlale ehlathini iminyaka,sadness,False Negative,False,True
xolani_chiliza kubonga mina mfoka mdunge ,joy,False Positive,True,False
iancyl ikhwele yadilika kunxumalo,anger,False Negative,False,True
iancyl ikhwele yadilika kunxumalo,surprise,False Positive,True,False
kuboshwe abesifazane ababili abagqibe umbungu egcekeni,disgust,False Negative,False,True
kuboshwe abesifazane ababili abagqibe umbungu egcekeni,joy,False Positive,True,False
kuboshwe abesifazane ababili abagqibe umbungu egcekeni,sadness,False Negative,False,True
umsakazi usetakula abakhubazekile njengoba kuvalwe izwe,joy,False Positive,True,False
osonkontileka basabisa ngokuvala amanzi ethekwini,joy,False Positive,True,False
osonkontileka basabisa ngokuvala amanzi ethekwini,surprise,False Positive,True,False
uyaveva uzandile gumede ngesinqumo seanc sokumxosha,anger,False Negative,False,True
uyaveva uzandile gumede ngesinqumo seanc sokumxosha,joy,False Positive,True,False
uyaveva uzandile gumede ngesinqumo seanc sokumxosha,surprise,False Positive,True,False
indida ngokubulawa kobethanda imicimbi,anger,False Negative,False,True
indida ngokubulawa kobethanda imicimbi,fear,False Negative,False,True
indida ngokubulawa kobethanda imicimbi,joy,False Positive,True,False
indida ngokubulawa kobethanda imicimbi,sadness,False Negative,False,True
mother mamtshali  father makhanya  dj wise  ngizalwa yilabantuke mina   durban kwazulunatal ,joy,False Positive,True,False
mother mamtshali  father makhanya  dj wise  ngizalwa yilabantuke mina   durban kwazulunatal ,surprise,False Positive,True,False
kuboshwe indoda esolwa ngokuba wumalugaju obezenza umfundisi kufacebook,surprise,False Negative,False,True
ufuna abazali baziqhenye ngayikho,joy,False Positive,True,False
kwethulwe isitimela esizosiza kwicorona,joy,False Negative,False,True
zinyukile izihlalo zeeff ephalandende likazwelonke,surprise,False Positive,True,False
missthembeka  ngihlekiswa ukuthi iksasa alaziwa,surprise,False Positive,True,False
usomizi ugqemeke udume lwengozi kudlula emhlabeni unina,joy,False Positive,True,False
usomizi ugqemeke udume lwengozi kudlula emhlabeni unina,sadness,False Negative,False,True
ugwetshiwe owashayisa isithandwa ngemoto safa,joy,False Positive,True,False
ugwetshiwe owashayisa isithandwa ngemoto safa,sadness,False Negative,False,True
kubanjwe inkabi esolwa ngokusoconga embonini,surprise,False Negative,False,True
udokotela ufe kusha ifulethi abehlala kulo ebhilidini eligudle ulwandle,joy,False Positive,True,False
udokotela ufe kusha ifulethi abehlala kulo ebhilidini eligudle ulwandle,sadness,False Negative,False,True
inhlanhla ewina imoto odayisa amagwinya,surprise,False Positive,True,False
sitholwe yizinja isidumbu sentombazanyana ebinyamalele,joy,False Positive,True,False
sitholwe yizinja isidumbu sentombazanyana ebinyamalele,sadness,False Negative,False,True
sitholwe yizinja isidumbu sentombazanyana ebinyamalele,surprise,False Positive,True,False
_madlokovu_ kanye kabili lubuya nobhabhula ,joy,False Positive,True,False
_madlokovu_ kanye kabili lubuya nobhabhula ,surprise,False Positive,True,False
awu lacoste awdedele niggahawe hawe lacoste haweishu ishuuuuuuuuuu ishu ishu ishuakasashoni ke phansi manje umalacoste angazi yinnda ishuuuuucorrect correct malacoste  omajitha awanalo iqiniso uphenduka inyoni ekseeeeeni  cc jabulanijay_jay,joy,False Positive,True,False
awu lacoste awdedele niggahawe hawe lacoste haweishu ishuuuuuuuuuu ishu ishu ishuakasashoni ke phansi manje umalacoste angazi yinnda ishuuuuucorrect correct malacoste  omajitha awanalo iqiniso uphenduka inyoni ekseeeeeni  cc jabulanijay_jay,surprise,False Positive,True,False
kuthunjwe umfundi osolwa ngokweba iselula,fear,False Negative,False,True
kuthunjwe umfundi osolwa ngokweba iselula,sadness,False Negative,False,True
kuthunjwe umfundi osolwa ngokweba iselula,surprise,False Positive,True,False
abaphumele obala abahlukunyezwa emabandleni,surprise,False Positive,True,False
ngoba djtira ave unebhadi bazothi uwena njengoba umama g esishiyile phela wena ukhonjwa yonke indawo ,joy,False Positive,True,False
sekumi ngomumo ngemicimbi yempelasonto,joy,False Positive,True,False
sekumi ngomumo ngemicimbi yempelasonto,surprise,False Positive,True,False
usonga ngokudalula amahlazo asendumeni,surprise,False Positive,True,False
bamisiwe othisha abajola nomfundi ecomtech,joy,False Positive,True,False
bamisiwe othisha abajola nomfundi ecomtech,surprise,False Negative,False,True
smeg ozoniqeda ngesende nina mathatha ndin  ngeketela nje nx ,fear,False Positive,True,False
smeg ozoniqeda ngesende nina mathatha ndin  ngeketela nje nx ,surprise,False Positive,True,False
iiec idalula isamba sokungenela ukhetho emaqenjini epolitiki,joy,False Positive,True,False
iiec idalula isamba sokungenela ukhetho emaqenjini epolitiki,surprise,False Positive,True,False
boniemntambo ngeke ungbone ngitapuna into epetulelwa umhlaba wonke weee,joy,False Positive,True,False
boniemntambo ngeke ungbone ngitapuna into epetulelwa umhlaba wonke weee,surprise,False Positive,True,False
urebecca uthembise ulozolo lwealbhamu,joy,False Positive,True,False
ugcine ekhethe umculo umphaquli osemncane,joy,False Positive,True,False
usizi lwesaguga esanqunywa imilenze ngenxa yesifo,sadness,False Negative,False,True
kuzovulwa indawo yamalayisensi emtuba,surprise,False Positive,True,False
ivaliwe indawo yokudlela yowathuka abamnyama,joy,False Positive,True,False
ivaliwe indawo yokudlela yowathuka abamnyama,surprise,False Positive,True,False
udlule ebunzimeni umethuli wenyan nyan,sadness,False Negative,False,True
udlule ebunzimeni umethuli wenyan nyan,surprise,False Positive,True,False
angase afihlwe kule mpelasonto usugar ray,surprise,False Positive,True,False
owokhozi uluyisa kubameli olwemiphumela yecorona,joy,False Positive,True,False
owokhozi uluyisa kubameli olwemiphumela yecorona,surprise,False Positive,True,False
ukhale ngokushisa washona eqeda umzuliswano wocansi nomfelokazi,joy,False Positive,True,False
ukhale ngokushisa washona eqeda umzuliswano wocansi nomfelokazi,sadness,False Negative,False,True
ipirates icacisa ngekusasa likahappy jele oshikishayo,joy,False Positive,True,False
ipirates icacisa ngekusasa likahappy jele oshikishayo,surprise,False Positive,True,False
abama80s abahlukane nokutinyela ama2000,anger,False Negative,False,True
abama80s abahlukane nokutinyela ama2000,joy,False Positive,True,False
abama80s abahlukane nokutinyela ama2000,surprise,False Positive,True,False
uncamele ukuhlawula ngor1 million kunokubhadla ejele,joy,False Positive,True,False
kuminze abantu ngenxa yemvula ekzn,sadness,False Negative,False,True
kuminze abantu ngenxa yemvula ekzn,surprise,False Positive,True,False
simmz_n wangbulala  inhloziyo yami iseglassini yewayini kahle kahle,sadness,False Negative,False,True
simmz_n wangbulala  inhloziyo yami iseglassini yewayini kahle kahle,surprise,False Positive,True,False
zibonga abantu basemzansi izithandani zodumo lwasekfc,fear,False Positive,True,False
zibonga abantu basemzansi izithandani zodumo lwasekfc,surprise,False Positive,True,False
bengithi ngiyifanele ibafana bafana,surprise,False Positive,True,False
ingwevu ilaxaze ianc yayojoyina abenkatha,joy,False Positive,True,False
ingwevu ilaxaze ianc yayojoyina abenkatha,surprise,False Negative,False,True
owebaroka ukhala ngobuthuntu babo,joy,False Positive,True,False
aziyizwa izinyunyana eyokuvinjwa kothisha,anger,False Negative,False,True
amaphoyisa adudulwe ngenganono emngcwabeni,fear,False Negative,False,True
amaphoyisa adudulwe ngenganono emngcwabeni,joy,False Positive,True,False
siluleme isilomo kwalimala abanye kwichiefs,sadness,False Negative,False,True
siluleme isilomo kwalimala abanye kwichiefs,surprise,False Positive,True,False
ngizobonakala emdlalweni omkhulu,joy,False Positive,True,False
ngizobonakala emdlalweni omkhulu,surprise,False Positive,True,False
sekubenele abashiswa yisoka,anger,False Negative,False,True
sekubenele abashiswa yisoka,sadness,False Negative,False,True
sekubenele abashiswa yisoka,surprise,False Positive,True,False
uzovaleliswa ngengoma uakhumzi,surprise,False Positive,True,False
bayihlupha ngempela futhi iyakhala manje ikhathele ingane  ,surprise,False Positive,True,False
ukhozi aluphumele obala ngengoma yonyaka,joy,False Positive,True,False
ukhozi aluphumele obala ngengoma yonyaka,surprise,False Positive,True,False
undlazi nezeluleko ngabaqeqeshi abasebancane,surprise,False Positive,True,False
nokuthi inuka u fish sizwa ngani enishodelwa u curry emakini  ,joy,False Positive,True,False
ugixabezwe odilikajele abane owabulala izingane 4,joy,False Positive,True,False
ugixabezwe odilikajele abane owabulala izingane 4,sadness,False Negative,False,True
ugixabezwe odilikajele abane owabulala izingane 4,surprise,False Negative,False,True
usola umona usomabhizinisi oshiselwe imishini,joy,False Positive,True,False
usola umona usomabhizinisi oshiselwe imishini,sadness,False Negative,False,True
kuqhume isibhaxu kulwa abeanc,anger,False Negative,False,True
kuqhume isibhaxu kulwa abeanc,joy,False Positive,True,False
kuvalwe izikole kudutshulwa othisha,anger,False Negative,False,True
kuvalwe izikole kudutshulwa othisha,fear,False Negative,False,True
kuvalwe izikole kudutshulwa othisha,sadness,False Negative,False,True
kuvalwe izikole kudutshulwa othisha,surprise,False Positive,True,False
ubhokodwe ngumyeni wakhe obemsola ngokumjolela,joy,False Positive,True,False
ubhokodwe ngumyeni wakhe obemsola ngokumjolela,sadness,False Negative,False,True
kukhalwa ngothishanhloko kuphahlazeka ibhanoyi,joy,False Positive,True,False
kukhalwa ngothishanhloko kuphahlazeka ibhanoyi,surprise,False Positive,True,False
kusolwa abazali isikole sivalwa,joy,False Positive,True,False
kusha isiteleka eunisa akufundwa,anger,False Negative,False,True
kusha isiteleka eunisa akufundwa,joy,False Positive,True,False
kufunwa abesifazane abadlwengule owesilisa,disgust,False Negative,False,True
kufunwa abesifazane abadlwengule owesilisa,joy,False Positive,True,False
okusha ngowobhememe,joy,False Positive,True,False
angase alahlekelwe yisithabathaba somuzi owakhe esizeni somuntu,joy,False Positive,True,False
angase alahlekelwe yisithabathaba somuzi owakhe esizeni somuntu,surprise,False Positive,True,False
ukhala ngokuxhashazwa ocula awomzabalazo,anger,False Negative,False,True
ukhala ngokuxhashazwa ocula awomzabalazo,joy,False Positive,True,False
baphakamise ifulegi lakuleli kowamaoscar,surprise,False Positive,True,False
badube umsebenzi kumiswa abanye esibhedlela,anger,False Negative,False,True
badube umsebenzi kumiswa abanye esibhedlela,surprise,False Positive,True,False
nkullii_ ngizwile nami ngisho nje ukuthi le think uma yenzeka usho ngeskhathi ,joy,False Positive,True,False
kusolwa isoka ngesitshudeni esinyamalele,sadness,False Negative,False,True
kusolwa isoka ngesitshudeni esinyamalele,surprise,False Positive,True,False
kusolwa imbawula  ngokusha kwemijondolo,joy,False Positive,True,False
kusolwa imbawula  ngokusha kwemijondolo,sadness,False Negative,False,True
kugxekwe utoya delazy ngokubhinca ibheshu,joy,False Positive,True,False
kugxekwe utoya delazy ngokubhinca ibheshu,surprise,False Positive,True,False
kubhedile kwabatholwe neyokwebiwa,surprise,False Positive,True,False
im a very bad liar but for some reason my daughter believes mangithi ngzomshaya  the older ones kade babona ukuthi iyangihlula lento so ngyazibeka,sadness,False Positive,True,False
ngijabule ukuthi ngisazohlala kupirates,joy,False Negative,False,True
ngijabule ukuthi ngisazohlala kupirates,surprise,False Positive,True,False
umshushisi uthi uyabanjezelwa kwelomfundisi tim omotoso,joy,False Positive,True,False
ujordaan uphikise okwashiwo ubaxter,joy,False Positive,True,False
ujordaan uphikise okwashiwo ubaxter,surprise,False Positive,True,False
kunzima kothisha bomfundi onqunyiwe,joy,False Positive,True,False
kunzima kothisha bomfundi onqunyiwe,sadness,False Negative,False,True
kuthungathwa abasolwa ngokuthumba,surprise,False Positive,True,False
kthiwa kunesale ezara anithenge nizoswenka bosisi niyeke futhi ukuthi angnenzeli lutho,joy,False Positive,True,False
kthiwa kunesale ezara anithenge nizoswenka bosisi niyeke futhi ukuthi angnenzeli lutho,surprise,False Positive,True,False
usagqunywe esitokisini obulale abayisithupha bomndeni,sadness,False Negative,False,True
usagqunywe esitokisini obulale abayisithupha bomndeni,surprise,False Negative,False,True
bawotha ubomvu ngokudla okuduve emahhovisi ezifunda,anger,False Negative,False,True
bawotha ubomvu ngokudla okuduve emahhovisi ezifunda,joy,False Positive,True,False
ugu lulindele izinkulungwane kowejazz,joy,False Positive,True,False
ugu lulindele izinkulungwane kowejazz,surprise,False Positive,True,False
amadoda amathathu enkantolo ngelokufa komlimi,surprise,False Positive,True,False
badedelwe abalandwa echina,surprise,False Positive,True,False
akajabhanga engatholi neyokubika kumasama,joy,False Positive,True,False
akajabhanga engatholi neyokubika kumasama,surprise,False Positive,True,False
akuvalwe ukudayiswa kotshwala ezikoleni,joy,False Positive,True,False
kuzogcwala abadlali bebhola lombhoxo eyadini,joy,False Positive,True,False
ibheyili kowetekisi ebulale abathathu,joy,False Positive,True,False
ibheyili kowetekisi ebulale abathathu,surprise,False Negative,False,True
kumuke owesilisa nomzukulu behlanza ibhuloho,joy,False Positive,True,False
kumuke owesilisa nomzukulu behlanza ibhuloho,sadness,False Negative,False,True
kumuke owesilisa nomzukulu behlanza ibhuloho,surprise,False Positive,True,False
bafuna kuvalwe isiteshi ngenxa yecorona,joy,False Positive,True,False
bafuna kuvalwe isiteshi ngenxa yecorona,surprise,False Positive,True,False
bagonyuluke ngokuhlukunyezwa,sadness,False Negative,False,True
bheka_bhengu uya ejozi bonke ngzohlala ngedwa laphayana ,joy,False Positive,True,False
bheka_bhengu uya ejozi bonke ngzohlala ngedwa laphayana ,surprise,False Positive,True,False
isoka lisongele intombi yalo kwasha izakhiwo,joy,False Positive,True,False
isoka lisongele intombi yalo kwasha izakhiwo,surprise,False Negative,False,True
udj websta ujabulela ukungena kweyakhe kwitop 10,surprise,False Positive,True,False
mawande71308261 iam_shado mina ngithi nje hla hle hli hlo hlukana ,surprise,False Positive,True,False
umqeqeshi webayern uncome ibhola likapitso,joy,False Positive,True,False
umqeqeshi webayern uncome ibhola likapitso,surprise,False Positive,True,False
udubencube weluleka osomabhizinisi ngomnotho,joy,False Positive,True,False
udubencube weluleka osomabhizinisi ngomnotho,surprise,False Positive,True,False
sebemumi emphinjeni abekwaito abagoloza nerenti eflethini,joy,False Positive,True,False
sebemumi emphinjeni abekwaito abagoloza nerenti eflethini,surprise,False Positive,True,False
ushayiswe yisitimela eyozikhulula ehlathini,joy,False Positive,True,False
ushayiswe yisitimela eyozikhulula ehlathini,sadness,False Negative,False,True
ushayiswe yisitimela eyozikhulula ehlathini,surprise,False Positive,True,False
liyandlondlobala ibhizinisi lothungela abondlekile,surprise,False Positive,True,False
uthuthile umndeni kubulawa abane,sadness,False Negative,False,True
uayanda ugajwe wusizi wahlulwa wukuya kokasfiso,joy,False Positive,True,False
uayanda ugajwe wusizi wahlulwa wukuya kokasfiso,surprise,False Positive,True,False
udalule inkohlakalo kar29 bn wakwagupta,disgust,False Negative,False,True
udalule inkohlakalo kar29 bn wakwagupta,surprise,False Positive,True,False
umotsoeneng wangethula kwabakwagupta isikhulu,surprise,False Positive,True,False
azifake obishini amasosha abheme emngcwabeni kamlangeni,joy,False Positive,True,False
ugwetshwe iminyaka engu32 owabulala ukarabo mokoena,joy,False Positive,True,False
bavale imigwaqo befuna kuxoshwe abokufika,anger,False Negative,False,True
yonwaba_mzizi bra hayi ngikhathele mina ,joy,False Positive,True,False
kukhishwe amagama eziboshwa ezifunwa uthuli,joy,False Positive,True,False
kukhishwe amagama eziboshwa ezifunwa uthuli,surprise,False Positive,True,False
intaba yasedubai ithakasela ushintsho empilweni,joy,False Negative,False,True
intaba yasedubai ithakasela ushintsho empilweni,surprise,False Positive,True,False
during the sex  ukhohlwe ukuvala i khethin uzwe ngabashana bethi weee uphuthelwe sebeqedile ,joy,False Positive,True,False
kungase kube nesitelekaedut,fear,False Negative,False,True
kungase kube nesitelekaedut,surprise,False Positive,True,False
ugcwele izinkalo obulale umzala wakhe,joy,False Positive,True,False
ugcwele izinkalo obulale umzala wakhe,sadness,False Negative,False,True
bandile abanxeshezelwa umshwalense ngomdlavuza,joy,False Positive,True,False
uvule icala osola inyanga ngokumthengela inkabi,joy,False Positive,True,False
unqabe ukufaka isicelo sebheyili osolwa ngokubulala eglebe,joy,False Positive,True,False
imbongi izoqopha negcokama elisha,joy,False Positive,True,False
naledimpanya     umane uyasho nje makuyi crush yakho ujabula kabi,surprise,False Positive,True,False
djsgqemeza vuma nje sqeh likuhlambalazile ibhishobhi mthiya sihole,surprise,False Positive,True,False
ikzn ikulungele ukuvulwa kwezikole,surprise,False Positive,True,False
washaqeka enqatshelwa ukungena emhlanganweni,joy,False Positive,True,False
washaqeka enqatshelwa ukungena emhlanganweni,surprise,False Negative,False,True
ezothando umkhwekazi ugxambukela ezindabeni zomuzi wethu,joy,False Positive,True,False
thobani22412518 ngikhale ngaye nam mfethu uyidlisile i team ,joy,False Positive,True,False
olaxaze ifree state ukhonjwa kubucs,joy,False Positive,True,False
olaxaze ifree state ukhonjwa kubucs,surprise,False Positive,True,False
akumele kulindwe isikhathi eside ukuphenya ngomuntu odukile  mbuyiseni ndlozi,surprise,False Positive,True,False
kugwemeke inhlekelele isiguli sishisa iwodi,fear,False Negative,False,True
kugwemeke inhlekelele isiguli sishisa iwodi,joy,False Positive,True,False
up  ku green lovers  kubafana base bergville ngavukwa usinga jabulujule jabulujule ladydwabantu ayanda_melansi nosihlesibisi_,joy,False Positive,True,False
up  ku green lovers  kubafana base bergville ngavukwa usinga jabulujule jabulujule ladydwabantu ayanda_melansi nosihlesibisi_,surprise,False Positive,True,False
ngizojola strong once this thing is over ha nali izwe libhubha umuntu engaqomile ngyasehla le staff its been real,surprise,False Positive,True,False
bevile ku800 ababhubhe ezingozini,joy,False Positive,True,False
bevile ku800 ababhubhe ezingozini,surprise,False Positive,True,False
 mawsumuhle kangaka bazongphikisa ukuthi ngzalwa nawe ,joy,False Positive,True,False
 mawsumuhle kangaka bazongphikisa ukuthi ngzalwa nawe ,surprise,False Positive,True,False
ifikisela ngezinyembezi lento eyi ukuphila kwalezinsuku zokugcina kunzima uma ungumzali uhlale ukhathazekile ngenxa yethonya lontanga balezingane zethu  ,joy,False Positive,True,False
ifikisela ngezinyembezi lento eyi ukuphila kwalezinsuku zokugcina kunzima uma ungumzali uhlale ukhathazekile ngenxa yethonya lontanga balezingane zethu  ,surprise,False Positive,True,False
umqeqeshi uveze isu alisebenzisayo enqoba oweligi,joy,False Positive,True,False
umqeqeshi uveze isu alisebenzisayo enqoba oweligi,surprise,False Positive,True,False
itholakale isishonile intombazane eneminyaka eyisithupha ebithunjiwe,joy,False Positive,True,False
itholakale isishonile intombazane eneminyaka eyisithupha ebithunjiwe,sadness,False Negative,False,True
itholakale isishonile intombazane eneminyaka eyisithupha ebithunjiwe,surprise,False Positive,True,False
ushabba usezogijima eqenjini laseturkey,joy,False Negative,False,True
ushabba usezogijima eqenjini laseturkey,surprise,False Positive,True,False
uzikalala ugqugquzela ukufunda imisebenzi yamakhono entsheni,joy,False Positive,True,False
unodada uhalela esovelele kwipsl,joy,False Positive,True,False
ingababophisa ingoma obabes nomampintsha,joy,False Positive,True,False
kungenzeka ugqunywe ejele ngokungasifaki isifonyo,joy,False Positive,True,False
kungenzeka ugqunywe ejele ngokungasifaki isifonyo,surprise,False Negative,False,True
amaphoyisa athathane neeff,anger,False Negative,False,True
amaphoyisa athathane neeff,fear,False Positive,True,False
amaphoyisa athathane neeff,surprise,False Positive,True,False
kuvulwe icala ngoshaye umfundi wabola izinqe,surprise,False Positive,True,False
iwrap up party yamametro kwamax,joy,False Positive,True,False
abasalali emakhaya ngenxa yokusongelwa osomatekisi,fear,False Negative,False,True
abasalali emakhaya ngenxa yokusongelwa osomatekisi,joy,False Positive,True,False
abasalali emakhaya ngenxa yokusongelwa osomatekisi,surprise,False Positive,True,False
uvalo ngebutterworth kusha izakhiwo ethekwini,fear,False Negative,False,True
uvalo ngebutterworth kusha izakhiwo ethekwini,joy,False Positive,True,False
uvalo ngebutterworth kusha izakhiwo ethekwini,surprise,False Positive,True,False
usebhekene necala lokudlwengula osolwa ngokubulala izingane zakhe 4,joy,False Positive,True,False
owasethekwini uzuze umsebenzi wokwenza izindondo zediff,joy,False Negative,False,True
owasethekwini uzuze umsebenzi wokwenza izindondo zediff,surprise,False Positive,True,False
ufikelwe umunyu ehlonishwa ngakubo,joy,False Positive,True,False
kusolwa amaqembu ezigebengu kudutshulwa kubulawa abane,surprise,False Positive,True,False
basabisa ngokungena ngodli emafulethini,joy,False Positive,True,False
basabisa ngokungena ngodli emafulethini,surprise,False Positive,True,False
ubuxoki obubulala ibhola ezifundeni zesafa  mkhize,joy,False Positive,True,False
ubuxoki obubulala ibhola ezifundeni zesafa  mkhize,surprise,False Positive,True,False
ezothando ukhuluma ngomkakhe owashona njalo ebe enami,joy,False Positive,True,False
ezothando ukhuluma ngomkakhe owashona njalo ebe enami,surprise,False Positive,True,False
ikhefu elibalulekile kutinkler neqembu aliphekayo,surprise,False Positive,True,False
kushone ingane 5 uyise eshisa indlu,joy,False Positive,True,False
kushone ingane 5 uyise eshisa indlu,sadness,False Negative,False,True
usemome umshado kakwesta noyolanda,joy,False Positive,True,False
ey siyabadakwa kodwa isqatha  ,surprise,False Positive,True,False
umlingisi uzibulele ngenxa yokhwantalala,joy,False Positive,True,False
umlingisi uzibulele ngenxa yokhwantalala,sadness,False Negative,False,True
abaqashi abafake izicelo zokuxhaswa,joy,False Positive,True,False
kubulawe ngesihluku osebenza nondunankulu,joy,False Positive,True,False
kubulawe ngesihluku osebenza nondunankulu,sadness,False Negative,False,True
ezivuthayo ugudla mina yini weadmin,joy,False Positive,True,False
linye inxeba eliqede ngempilo yomculi,joy,False Positive,True,False
linye inxeba eliqede ngempilo yomculi,sadness,False Negative,False,True
linye inxeba eliqede ngempilo yomculi,surprise,False Positive,True,False
akucaci ngosello maake kancube kwithe queen,joy,False Positive,True,False
akucaci ngosello maake kancube kwithe queen,surprise,False Positive,True,False
la engiluka khona kulukwa ugqoke iskhwama ,joy,False Positive,True,False
la engiluka khona kulukwa ugqoke iskhwama ,surprise,False Positive,True,False
isitimela sibashumpule amakhanda,sadness,False Negative,False,True
isitimela sibashumpule amakhanda,surprise,False Positive,True,False
kuqhume iqupha abefundisi beficana enyangeni,anger,False Negative,False,True
kuqhume iqupha abefundisi beficana enyangeni,joy,False Positive,True,False
kuqhume iqupha abefundisi beficana enyangeni,surprise,False Positive,True,False
sulamanisile lapho thina sisahba nhazobathini kambe ngeslungu ntokazicongagugatinins  ,joy,False Positive,True,False
sulamanisile lapho thina sisahba nhazobathini kambe ngeslungu ntokazicongagugatinins  ,surprise,False Positive,True,False
kukhalwa ngenkosi yasenquthu ekhokhisa abangaganiwe intela yobumpohlo,surprise,False Positive,True,False
ladydwabantu jabulujule ey uyahlupha kodwa rubby ukhozi_fm,surprise,False Positive,True,False
kodwa nina niyajola nentshebe edayiwe thina umjolo uyasinyisa kodwa  ifair ayikho ,joy,False Positive,True,False
kuboshwe inqwaba ephule imibandela,fear,False Positive,True,False
kuboshwe inqwaba ephule imibandela,surprise,False Positive,True,False
aphelile amasavanna abantu emabhakedeni e602 on saturday,joy,False Positive,True,False
aphelile amasavanna abantu emabhakedeni e602 on saturday,surprise,False Positive,True,False
unebhizinisi elizosiza abanezinwele zemvelo,joy,False Positive,True,False
zwanebhekifa drzwelimkhize mangethe wehla wadilika kumuntu wami ,joy,False Positive,True,False
zwanebhekifa drzwelimkhize mangethe wehla wadilika kumuntu wami ,surprise,False Positive,True,False
bafuna ajeze obengungqongqoshe,anger,False Negative,False,True
bafuna ajeze obengungqongqoshe,joy,False Positive,True,False
bafuna ajeze obengungqongqoshe,surprise,False Positive,True,False
kufunwa umbulali osolwa ngokushisa unina wezingane zakhe,joy,False Positive,True,False
kufunwa umbulali osolwa ngokushisa unina wezingane zakhe,sadness,False Negative,False,True
usinde ngokulambisa obecwiywa izindlebe,surprise,False Negative,False,True
injabulo iligi yabesifazane ithola abaxhasi,surprise,False Positive,True,False
bahlehliswe yizinyosi behlasela emzini wosolwa ngokuloya,joy,False Positive,True,False
zodumo_02 ngobaphathana kahle nje yini manje,joy,False Positive,True,False
zodumo_02 ngobaphathana kahle nje yini manje,surprise,False Positive,True,False
umphathi ukhulume okomuntu osevalelisa,joy,False Positive,True,False
thembakaula ngimzondukufa uyise kabule ngomastende nje sengathi akukhahlelwe ingane ilahlwe phansi yey ngoba legenger yenu iyahlukumeza,anger,False Negative,False,True
idinga ubunono eyokuqoma komfelokazi,joy,False Positive,True,False
we momkhozauthi umama wami umamthimkhulu zulu uvuke nephuphouthi bekumcimbi nje wo ukhozi_fm wajabula umbona wamfaka iring enhle yegolidecha ngithi angedlulise iphupho boangisahleki indlela alichaza ngayo ladydwabantu jabulujule ,joy,False Positive,True,False
we momkhozauthi umama wami umamthimkhulu zulu uvuke nephuphouthi bekumcimbi nje wo ukhozi_fm wajabula umbona wamfaka iring enhle yegolidecha ngithi angedlulise iphupho boangisahleki indlela alichaza ngayo ladydwabantu jabulujule ,surprise,False Positive,True,False
uvulelwe icala lokushaya owesifazane ubabes,joy,False Positive,True,False
uvulelwe icala lokushaya owesifazane ubabes,sadness,False Negative,False,True
uvulelwe icala lokushaya owesifazane ubabes,surprise,False Negative,False,True
ezempilo bayanda asebephuzaamasmoothiekunesidlo sasekuseni,joy,False Positive,True,False
ezempilo bayanda asebephuzaamasmoothiekunesidlo sasekuseni,surprise,False Positive,True,False
ihlehlisiwe futhi ingqungquthela yeanc ekzn,surprise,False Positive,True,False
ulaxaze umdlalo umlingisi,joy,False Positive,True,False
usethelekile umculi waphesheya utamia,joy,False Positive,True,False
usethelekile umculi waphesheya utamia,surprise,False Positive,True,False
sebephenduke imilutha yebhenzini abafundi bamabanga aphansi,surprise,False Positive,True,False
ubungeke nje umosquito udle uvale umlomo mxm lapho sengibulele 6 yonke kodwa kusakhona ongicefezelayo,joy,False Positive,True,False
ubungeke nje umosquito udle uvale umlomo mxm lapho sengibulele 6 yonke kodwa kusakhona ongicefezelayo,surprise,False Positive,True,False
zizovulelwa amacala izikhulu ezithinteka enkohlakalweni yethenda yecovid19,joy,False Positive,True,False
zizovulelwa amacala izikhulu ezithinteka enkohlakalweni yethenda yecovid19,surprise,False Positive,True,False
ubuthelezi uhaqwe yicoronavirus,fear,False Negative,False,True
ubuthelezi uhaqwe yicoronavirus,sadness,False Negative,False,True
ubuthelezi uhaqwe yicoronavirus,surprise,False Positive,True,False
indida ngesitshudeni esitholwe sibulewe ngesihluku,sadness,False Negative,False,True
indida ngesitshudeni esitholwe sibulewe ngesihluku,surprise,False Positive,True,False
unomzamo usolwe ngokudlela umona uthuso mbedu ngehollywood,joy,False Positive,True,False
ngangena ku zulu space ngavele ngahlamgana ne tribalism ,surprise,False Positive,True,False
kumiswe umfundi oshaye uthisha,joy,False Positive,True,False
kumiswe umfundi oshaye uthisha,surprise,False Negative,False,True
